GEOIDNUM,EM_CNTEST,EM_CNTMOE,EM_CLASS,EM_SCORE,IPD_SCORE,STATEFP10,COUNTYFP10,NAME10,EM_PCTEST,EM_PCTMOE,EM_PCTILE
42091203401.00000000000,355,203,average,2,18,42,091,2034.01,0.059,0,0.590
42101000100.00000000000,224,111,average,2,13,42,101,1,0.056,0,0.570
42101000200.00000000000,111,143,average,2,20,42,101,2,0.043,0,0.470
42101000300.00000000000,254,142,average,2,16,42,101,3,0.072,0,0.680
42101000500.00000000000,342,177,average,2,14,42,101,5,0.140,0,0.840
42101000600.00000000000,128,70,average,2,15,42,101,6,0.098,0,0.770
42091206904.00000000000,283,149,average,2,18,42,091,2069.04,0.051,0,0.530
42091201006.00000000000,49,36,below average,1,16,42,091,2010.06,0.022,0,0.240
42091204300.00000000000,52,43,below average,1,19,42,091,2043,0.019,0,0.200
42091206600.00000000000,102,53,average,2,14,42,091,2066,0.074,0,0.690
34005702905.00000000000,218,139,average,2,15,34,005,7029.05,0.052,0,0.540
34005702101.00000000000,662,142,above average,3,16,34,005,7021.01,0.161,0,0.860
34005700102.00000000000,170,134,average,2,19,34,005,7001.02,0.062,0,0.610
42101026400.00000000000,196,188,average,2,21,42,101,264,0.034,0,0.370
42101026500.00000000000,97,110,below average,1,19,42,101,265,0.019,0,0.200
42101026600.00000000000,120,126,below average,1,22,42,101,266,0.019,0,0.200
42101026700.00000000000,10,18,below average,1,23,42,101,267,0.002,0,0.020
42101026800.00000000000,144,104,average,2,22,42,101,268,0.032,0,0.350
42101029900.00000000000,1169,324,above average,3,25,42,101,299,0.281,0,0.920
34005700303.00000000000,206,124,average,2,16,34,005,7003.03,0.057,0,0.580
34005700605.00000000000,23,23,below average,1,14,34,005,7006.05,0.005,0,0.040
42091208903.00000000000,198,132,average,2,18,42,091,2089.03,0.074,0,0.690
42091204008.00000000000,9,16,below average,1,15,42,091,2040.08,0.003,0,0.030
42091200800.00000000000,285,184,average,2,19,42,091,2008,0.086,0,0.730
42091205503.00000000000,156,100,average,2,19,42,091,2055.03,0.033,0,0.360
42091205200.00000000000,69,64,below average,1,14,42,091,2052,0.023,0,0.250
42091203403.00000000000,26,37,below average,1,17,42,091,2034.03,0.008,0,0.070
42091200907.00000000000,56,50,below average,1,11,42,091,2009.07,0.022,0,0.240
42091207004.00000000000,184,155,average,2,15,42,091,2070.04,0.043,0,0.470
42091204702.00000000000,63,54,below average,1,17,42,091,2047.02,0.019,0,0.200
42101034100.00000000000,323,168,average,2,16,42,101,341,0.055,0,0.570
42101034200.00000000000,110,80,average,2,22,42,101,342,0.032,0,0.350
42101030000.00000000000,1825,634,above average,3,25,42,101,300,0.246,0,0.910
42101030100.00000000000,965,262,above average,3,24,42,101,301,0.169,0,0.870
42101030200.00000000000,2593,792,well above average,4,24,42,101,302,0.337,0,0.940
42101030600.00000000000,2021,513,above average,3,23,42,101,306,0.252,0,0.910
42101030700.00000000000,353,235,average,2,20,42,101,307,0.091,0,0.750
42101030800.00000000000,1160,394,above average,3,25,42,101,308,0.239,0,0.900
42101030900.00000000000,1205,426,above average,3,25,42,101,309,0.272,0,0.920
34015501703.00000000000,391,280,average,2,16,34,015,5017.03,0.092,0,0.750
34015501102.00000000000,413,200,average,2,17,34,015,5011.02,0.062,0,0.610
34021003601.00000000000,526,321,average,2,19,34,021,36.01,0.139,0,0.840
34021003602.00000000000,206,143,average,2,15,34,021,36.02,0.061,0,0.600
34021003705.00000000000,409,240,average,2,15,34,021,37.05,0.065,0,0.630
42101020101.00000000000,122,103,average,2,23,42,101,201.01,0.030,0,0.330
34005700307.00000000000,45,53,below average,1,14,34,005,7003.07,0.016,0,0.160
34005700800.00000000000,212,155,average,2,16,34,005,7008,0.047,0,0.510
34005700602.00000000000,78,63,below average,1,16,34,005,7006.02,0.013,0,0.130
42101980200.00000000000,28,33,average,2,17,42,101,9802,0.039,0,0.430
42101034400.00000000000,436,109,average,2,20,42,101,344,0.055,0,0.570
42101034600.00000000000,394,225,average,2,19,42,101,346,0.148,0,0.850
42091201703.00000000000,107,78,average,2,14,42,091,2017.03,0.035,0,0.390
42091202301.00000000000,53,56,below average,1,15,42,091,2023.01,0.011,0,0.110
42091203104.00000000000,167,115,average,2,16,42,091,2031.04,0.041,0,0.450
42091202602.00000000000,48,46,below average,1,15,42,091,2026.02,0.018,0,0.180
42101000801.00000000000,115,69,average,2,9,42,101,8.01,0.072,0,0.680
42101001101.00000000000,221,128,average,2,15,42,101,11.01,0.060,0,0.600
42101027402.00000000000,1941,768,above average,3,27,42,101,274.02,0.268,0,0.920
42101008601.00000000000,173,93,average,2,17,42,101,86.01,0.060,0,0.600
42101036502.00000000000,221,270,average,2,16,42,101,365.02,0.053,0,0.550
42101036700.00000000000,274,98,average,2,11,42,101,367,0.091,0,0.750
42101037600.00000000000,379,302,average,2,19,42,101,376,0.124,0,0.820
42101038600.00000000000,63,51,average,2,16,42,101,386,0.045,0,0.490
42101038500.00000000000,62,42,average,2,17,42,101,385,0.033,0,0.360
42101038700.00000000000,104,64,average,2,16,42,101,387,0.040,0,0.440
34021003302.00000000000,541,149,average,2,20,34,021,33.02,0.066,0,0.640
34021003201.00000000000,565,248,average,2,15,34,021,32.01,0.075,0,0.690
34021003903.00000000000,120,79,average,2,16,34,021,39.03,0.047,0,0.510
34021003202.00000000000,370,327,average,2,20,34,021,32.02,0.065,0,0.630
34021004000.00000000000,832,467,above average,3,16,34,021,40,0.155,0,0.860
42101007900.00000000000,274,144,average,2,16,42,101,79,0.062,0,0.610
42101008000.00000000000,172,119,average,2,19,42,101,80,0.044,0,0.480
42091201607.00000000000,95,82,average,2,17,42,091,2016.07,0.027,0,0.300
42091203700.00000000000,414,171,above average,3,20,42,091,2037,0.215,0,0.890
42091201604.00000000000,43,78,below average,1,17,42,091,2016.04,0.014,0,0.140
42091201608.00000000000,302,207,average,2,16,42,091,2016.08,0.064,0,0.630
42091205000.00000000000,81,41,average,2,17,42,091,2050,0.032,0,0.350
42091205502.00000000000,116,92,average,2,16,42,091,2055.02,0.032,0,0.350
42091205600.00000000000,164,103,average,2,16,42,091,2056,0.038,0,0.420
42101038800.00000000000,109,77,average,2,15,42,101,388,0.028,0,0.310
42101038900.00000000000,55,79,below average,1,21,42,101,389,0.017,0,0.170
42101980000.00000000000,124,88,average,2,14,42,101,9800,0.121,0,0.810
34021004502.00000000000,92,58,average,2,21,34,021,45.02,0.075,0,0.690
42101028000.00000000000,111,154,average,2,22,42,101,280,0.028,0,0.310
42101028100.00000000000,201,295,average,2,24,42,101,281,0.045,0,0.490
34005704012.00000000000,515,259,average,2,13,34,005,7040.12,0.096,0,0.760
34005700401.00000000000,128,79,average,2,16,34,005,7004.01,0.060,0,0.600
42029303902.00000000000,275,306,average,2,12,42,029,3039.02,0.051,0,0.530
42029302703.00000000000,26,43,below average,1,12,42,029,3027.03,0.006,0,0.050
42029302704.00000000000,140,103,average,2,14,42,029,3027.04,0.027,0,0.300
42029306300.00000000000,981,167,well above average,4,21,42,029,3063,0.344,0,0.940
42029302204.00000000000,328,292,average,2,14,42,029,3022.04,0.051,0,0.530
42029305300.00000000000,638,98,average,2,18,42,029,3053,0.086,0,0.730
42091200703.00000000000,146,132,average,2,18,42,091,2007.03,0.034,0,0.370
42091201409.00000000000,56,60,below average,1,15,42,091,2014.09,0.013,0,0.130
42091201410.00000000000,73,51,average,2,15,42,091,2014.10,0.029,0,0.320
42091205903.00000000000,39,27,below average,1,14,42,091,2059.03,0.015,0,0.150
42091205807.00000000000,33,49,below average,1,16,42,091,2058.07,0.020,0,0.210
42091200306.00000000000,137,110,average,2,16,42,091,2003.06,0.040,0,0.440
42091200305.00000000000,95,69,average,2,15,42,091,2003.05,0.042,0,0.460
42091205809.00000000000,43,35,below average,1,16,42,091,2058.09,0.015,0,0.150
42091201901.00000000000,195,108,average,2,17,42,091,2019.01,0.039,0,0.430
42091202100.00000000000,203,123,average,2,18,42,091,2021,0.046,0,0.500
42091202402.00000000000,352,138,average,2,17,42,091,2024.02,0.074,0,0.690
42091204701.00000000000,1,2,well below average,0,13,42,091,2047.01,0.000,0,0.010
42091207300.00000000000,371,189,average,2,19,42,091,2073,0.138,0,0.840
42091208801.00000000000,175,98,average,2,20,42,091,2088.01,0.131,0,0.830
34005701205.00000000000,297,185,average,2,19,34,005,7012.05,0.135,0,0.830
42091201003.00000000000,97,144,below average,1,17,42,091,2010.03,0.019,0,0.200
42091206007.00000000000,158,100,below average,1,16,42,091,2060.07,0.023,0,0.250
42091210400.00000000000,152,86,average,2,19,42,091,2104,0.035,0,0.390
42091200906.00000000000,48,38,average,2,19,42,091,2009.06,0.027,0,0.300
42091201005.00000000000,98,87,average,2,14,42,091,2010.05,0.030,0,0.330
42029302000.00000000000,135,67,below average,1,13,42,029,3020,0.024,0,0.260
42029305600.00000000000,579,265,above average,3,23,42,029,3056,0.183,0,0.880
42029305500.00000000000,1443,424,well above average,4,26,42,029,3055,0.406,0,0.960
42029305700.00000000000,365,116,above average,3,22,42,029,3057,0.159,0,0.860
42091201800.00000000000,172,177,average,2,20,42,091,2018,0.058,0,0.580
42091201606.00000000000,106,84,average,2,16,42,091,2016.06,0.043,0,0.470
42101036301.00000000000,96,78,average,2,19,42,101,363.01,0.028,0,0.310
42101036400.00000000000,69,51,average,2,19,42,101,364,0.085,0,0.730
42091200310.00000000000,29,42,below average,1,19,42,091,2003.10,0.011,0,0.110
42091206802.00000000000,18,29,below average,1,13,42,091,2068.02,0.006,0,0.050
42091203207.00000000000,1,3,well below average,0,14,42,091,2032.07,0.000,0,0.010
42091203304.00000000000,38,41,below average,1,16,42,091,2033.04,0.010,0,0.100
42101003800.00000000000,162,119,average,2,19,42,101,38,0.042,0,0.460
42101008302.00000000000,224,166,average,2,23,42,101,83.02,0.052,0,0.540
42101017602.00000000000,3575,466,well above average,4,27,42,101,176.02,0.838,0,0.990
42101001002.00000000000,197,105,average,2,14,42,101,10.02,0.058,0,0.580
42101001001.00000000000,26,41,below average,1,16,42,101,10.01,0.010,0,0.100
42091207201.00000000000,149,95,average,2,14,42,091,2072.01,0.064,0,0.630
42091203801.00000000000,795,224,above average,3,22,42,091,2038.01,0.208,0,0.890
42091201203.00000000000,10,17,below average,1,16,42,091,2012.03,0.003,0,0.030
42101012204.00000000000,99,78,average,2,23,42,101,122.04,0.026,0,0.280
42101012203.00000000000,27,23,average,2,20,42,101,122.03,0.042,0,0.460
42101013602.00000000000,75,60,below average,1,14,42,101,136.02,0.020,0,0.210
42101034501.00000000000,316,197,average,2,26,42,101,345.01,0.091,0,0.750
42101034502.00000000000,777,322,above average,3,24,42,101,345.02,0.156,0,0.860
42101001102.00000000000,30,27,below average,1,11,42,101,11.02,0.012,0,0.120
42101000902.00000000000,50,34,below average,1,19,42,101,9.02,0.019,0,0.200
42091203601.00000000000,745,374,above average,3,24,42,091,2036.01,0.248,0,0.910
42091207900.00000000000,61,50,below average,1,16,42,091,2079,0.024,0,0.260
42091209202.00000000000,137,83,average,2,17,42,091,2092.02,0.064,0,0.630
42091209201.00000000000,13,18,below average,1,11,42,091,2092.01,0.008,0,0.070
42091203500.00000000000,677,301,average,2,20,42,091,2035,0.106,0,0.780
42091207101.00000000000,27,30,below average,1,13,42,091,2071.01,0.004,0,0.040
42101020600.00000000000,87,55,average,2,19,42,101,206,0.052,0,0.540
42101036600.00000000000,93,79,average,2,14,42,101,366,0.048,0,0.520
42091203208.00000000000,175,165,average,2,16,42,091,2032.08,0.059,0,0.590
42091203204.00000000000,218,148,average,2,18,42,091,2032.04,0.034,0,0.370
42091204102.00000000000,186,115,average,2,11,42,091,2041.02,0.046,0,0.500
42091205906.00000000000,231,200,average,2,15,42,091,2059.06,0.110,0,0.790
42091200301.00000000000,451,301,average,2,18,42,091,2003.01,0.076,0,0.700
42101000402.00000000000,16,26,below average,1,18,42,101,4.02,0.005,0,0.040
42101000401.00000000000,187,38,average,2,20,42,101,4.01,0.070,0,0.660
42091200104.00000000000,0,10,well below average,0,16,42,091,2001.04,0.000,0,0.010
42091208201.00000000000,14,15,below average,1,12,42,091,2082.01,0.006,0,0.050
42091208904.00000000000,535,207,above average,3,20,42,091,2089.04,0.159,0,0.860
42091207003.00000000000,0,10,well below average,0,14,42,091,2070.03,0.000,0,0.010
42091208301.00000000000,0,10,well below average,0,10,42,091,2083.01,0.000,0,0.010
42091200707.00000000000,447,261,average,2,19,42,091,2007.07,0.111,0,0.790
42101000901.00000000000,142,70,average,2,15,42,101,9.01,0.066,0,0.640
42101017201.00000000000,25,36,below average,1,22,42,101,172.01,0.008,0,0.070
42101017202.00000000000,152,232,average,2,25,42,101,172.02,0.051,0,0.530
42101027401.00000000000,378,230,average,2,25,42,101,274.01,0.114,0,0.800
42101034803.00000000000,492,329,average,2,19,42,101,348.03,0.115,0,0.800
42101034702.00000000000,99,74,average,2,18,42,101,347.02,0.025,0,0.270
42101036202.00000000000,426,314,average,2,18,42,101,362.02,0.071,0,0.670
42091202604.00000000000,72,62,average,2,20,42,091,2026.04,0.031,0,0.340
42091202302.00000000000,164,103,average,2,21,42,091,2023.02,0.077,0,0.700
42091203105.00000000000,129,112,below average,1,13,42,091,2031.05,0.024,0,0.260
42101029100.00000000000,1339,387,above average,3,29,42,101,291,0.277,0,0.920
42101029200.00000000000,1794,429,well above average,4,27,42,101,292,0.387,0,0.950
42101029300.00000000000,1344,505,well above average,4,27,42,101,293,0.441,0,0.960
42101029400.00000000000,1164,473,well above average,4,28,42,101,294,0.403,0,0.960
42101029800.00000000000,1575,428,well above average,4,24,42,101,298,0.303,0,0.930
42101033300.00000000000,519,328,average,2,22,42,101,333,0.123,0,0.810
42101033400.00000000000,629,381,average,2,24,42,101,334,0.113,0,0.800
42029303301.00000000000,734,296,above average,3,18,42,029,3033.01,0.242,0,0.910
42029306503.00000000000,1260,316,well above average,4,22,42,029,3065.03,0.477,0,0.960
42029306504.00000000000,1493,388,well above average,4,21,42,029,3065.04,0.298,0,0.930
42029306501.00000000000,222,157,average,2,14,42,029,3065.01,0.050,0,0.530
42029308101.00000000000,181,114,average,2,14,42,029,3081.01,0.040,0,0.440
42091206905.00000000000,50,50,below average,1,14,42,091,2069.05,0.010,0,0.100
42091206702.00000000000,451,103,average,2,8,42,091,2067.02,0.135,0,0.830
42091208702.00000000000,62,73,below average,1,12,42,091,2087.02,0.019,0,0.200
42091200103.00000000000,61,71,below average,1,17,42,091,2001.03,0.015,0,0.150
42091201201.00000000000,44,31,below average,1,17,42,091,2012.01,0.007,0,0.060
42091207202.00000000000,438,208,average,2,17,42,091,2072.02,0.100,0,0.770
42091201902.00000000000,169,143,average,2,17,42,091,2019.02,0.031,0,0.340
42091202202.00000000000,249,91,average,2,19,42,091,2022.02,0.080,0,0.710
42091209100.00000000000,200,116,average,2,13,42,091,2091,0.037,0,0.410
42091204500.00000000000,71,65,below average,1,13,42,091,2045,0.015,0,0.150
42091208802.00000000000,153,114,average,2,19,42,091,2088.02,0.044,0,0.480
42091207500.00000000000,14,16,below average,1,13,42,091,2075,0.004,0,0.040
42091201302.00000000000,263,193,average,2,16,42,091,2013.02,0.089,0,0.740
42101033500.00000000000,905,231,above average,3,26,42,101,335,0.221,0,0.900
42101033600.00000000000,911,476,average,2,21,42,101,336,0.121,0,0.810
42101033800.00000000000,715,205,average,2,22,42,101,338,0.114,0,0.800
42101033900.00000000000,312,255,average,2,19,42,101,339,0.091,0,0.750
42101034000.00000000000,257,134,average,2,19,42,101,340,0.087,0,0.740
42101021300.00000000000,225,128,average,2,12,42,101,213,0.059,0,0.590
42091204400.00000000000,170,106,average,2,16,42,091,2044,0.054,0,0.560
42091201204.00000000000,27,16,below average,1,16,42,091,2012.04,0.013,0,0.130
42091208905.00000000000,100,90,average,2,14,42,091,2089.05,0.036,0,0.400
42091208901.00000000000,199,114,average,2,17,42,091,2089.01,0.054,0,0.560
42029304502.00000000000,47,52,below average,1,11,42,029,3045.02,0.015,0,0.150
42029304405.00000000000,168,143,average,2,13,42,029,3044.05,0.027,0,0.300
42029303100.00000000000,145,81,average,2,15,42,029,3031,0.034,0,0.370
42029304201.00000000000,394,172,average,2,14,42,029,3042.01,0.059,0,0.590
42029303402.00000000000,765,182,well above average,4,21,42,029,3034.02,0.401,0,0.950
42091200908.00000000000,179,110,average,2,16,42,091,2009.08,0.081,0,0.710
42091208100.00000000000,131,71,average,2,13,42,091,2081,0.044,0,0.480
42091205808.00000000000,55,42,below average,1,20,42,091,2058.08,0.011,0,0.110
42091206102.00000000000,406,247,average,2,15,42,091,2061.02,0.046,0,0.500
42091206005.00000000000,415,274,average,2,16,42,091,2060.05,0.099,0,0.770
42091207800.00000000000,122,129,below average,1,13,42,091,2078,0.017,0,0.170
34021002500.00000000000,1702,302,above average,3,21,34,021,25,0.278,0,0.920
34021002702.00000000000,1092,678,above average,3,23,34,021,27.02,0.171,0,0.870
34021002800.00000000000,1919,426,above average,3,23,34,021,28,0.271,0,0.920
34021002601.00000000000,1677,434,well above average,4,24,34,021,26.01,0.384,0,0.950
42101038400.00000000000,64,47,average,2,18,42,101,384,0.026,0,0.280
42091205100.00000000000,70,75,average,2,17,42,091,2051,0.043,0,0.470
42091201603.00000000000,163,90,average,2,15,42,091,2016.03,0.038,0,0.420
42091204009.00000000000,122,72,average,2,17,42,091,2040.09,0.071,0,0.670
42091208906.00000000000,117,84,average,2,19,42,091,2089.06,0.031,0,0.340
42091208203.00000000000,64,62,below average,1,11,42,091,2082.03,0.014,0,0.140
42091206801.00000000000,310,276,average,2,17,42,091,2068.01,0.043,0,0.470
42091200501.00000000000,194,152,average,2,13,42,091,2005.01,0.047,0,0.510
42101008500.00000000000,237,204,average,2,22,42,101,85,0.032,0,0.350
42101009000.00000000000,348,134,average,2,15,42,101,90,0.056,0,0.570
42101009100.00000000000,48,49,below average,1,20,42,101,91,0.017,0,0.170
42101009200.00000000000,78,69,below average,1,20,42,101,92,0.022,0,0.240
42101009300.00000000000,0,10,well below average,0,21,42,101,93,0.000,0,0.010
42101009400.00000000000,40,46,below average,1,23,42,101,94,0.010,0,0.100
42101009500.00000000000,138,219,average,2,22,42,101,95,0.045,0,0.490
42101009600.00000000000,116,103,average,2,22,42,101,96,0.027,0,0.300
42101013800.00000000000,153,125,average,2,21,42,101,138,0.072,0,0.680
42101013900.00000000000,160,127,average,2,21,42,101,139,0.054,0,0.560
42101014000.00000000000,123,102,average,2,22,42,101,140,0.040,0,0.440
42101014100.00000000000,234,158,average,2,26,42,101,141,0.093,0,0.760
42101014200.00000000000,413,148,average,2,11,42,101,142,0.105,0,0.780
42101035301.00000000000,484,259,average,2,17,42,101,353.01,0.091,0,0.750
42101026301.00000000000,0,10,well below average,0,18,42,101,263.01,0.000,0,0.010
42101000804.00000000000,283,139,average,2,13,42,101,8.04,0.069,0,0.660
34021004407.00000000000,1427,618,above average,3,22,34,021,44.07,0.193,0,0.880
34021004306.00000000000,180,101,average,2,18,34,021,43.06,0.033,0,0.360
42091201411.00000000000,0,10,well below average,0,13,42,091,2014.11,0.000,0,0.010
42091200307.00000000000,158,98,average,2,18,42,091,2003.07,0.051,0,0.530
34015500203.00000000000,57,44,below average,1,13,34,015,5002.03,0.012,0,0.120
34015500900.00000000000,109,63,average,2,14,34,015,5009,0.036,0,0.400
34015501107.00000000000,220,138,average,2,14,34,015,5011.07,0.050,0,0.530
34015500800.00000000000,19,16,below average,1,12,34,015,5008,0.009,0,0.080
34015501001.00000000000,284,136,average,2,19,34,015,5010.01,0.129,0,0.820
34015501002.00000000000,779,273,above average,3,24,34,015,5010.02,0.189,0,0.880
34015501106.00000000000,206,209,average,2,17,34,015,5011.06,0.053,0,0.550
42101028300.00000000000,297,254,average,2,24,42,101,283,0.045,0,0.490
42101028400.00000000000,886,454,above average,3,25,42,101,284,0.188,0,0.880
42101028500.00000000000,1138,297,well above average,4,30,42,101,285,0.394,0,0.950
42101028600.00000000000,2244,611,well above average,4,30,42,101,286,0.298,0,0.930
42101028700.00000000000,1768,268,well above average,4,29,42,101,287,0.695,0,0.980
42101028800.00000000000,2391,415,well above average,4,31,42,101,288,0.550,0,0.970
42101029000.00000000000,2911,867,well above average,4,27,42,101,290,0.409,0,0.960
42101013402.00000000000,409,160,average,2,13,42,101,134.02,0.147,0,0.850
42101013401.00000000000,63,55,average,2,17,42,101,134.01,0.027,0,0.300
42101013601.00000000000,40,27,below average,1,13,42,101,136.01,0.014,0,0.140
42101037900.00000000000,152,141,average,2,20,42,101,379,0.028,0,0.310
42101038200.00000000000,715,211,above average,3,22,42,101,382,0.277,0,0.920
42101038000.00000000000,697,210,well above average,4,21,42,101,380,0.286,0,0.930
42101038100.00000000000,132,118,above average,3,21,42,101,381,0.166,0,0.870
42091200505.00000000000,134,110,below average,1,15,42,091,2005.05,0.018,0,0.180
42091201406.00000000000,0,10,well below average,0,15,42,091,2014.06,0.000,0,0.010
42091200902.00000000000,141,101,average,2,16,42,091,2009.02,0.114,0,0.800
42091207400.00000000000,27,24,below average,1,11,42,091,2074,0.009,0,0.080
42091206202.00000000000,86,63,average,2,14,42,091,2062.02,0.035,0,0.390
42091200903.00000000000,468,249,average,2,18,42,091,2009.03,0.102,0,0.780
42091210500.00000000000,198,165,average,2,17,42,091,2105,0.045,0,0.490
42091205805.00000000000,87,68,average,2,18,42,091,2058.05,0.026,0,0.280
42101011800.00000000000,260,220,average,2,22,42,101,118,0.044,0,0.480
42101011900.00000000000,4,9,below average,1,19,42,101,119,0.001,0,0.020
42101012000.00000000000,97,75,average,2,15,42,101,120,0.055,0,0.570
42101012100.00000000000,158,126,average,2,24,42,101,121,0.054,0,0.560
42101012500.00000000000,213,112,average,2,16,42,101,125,0.041,0,0.450
42101013100.00000000000,37,35,below average,1,18,42,101,131,0.022,0,0.240
42101013200.00000000000,273,168,average,2,24,42,101,132,0.099,0,0.770
42101015200.00000000000,339,309,average,2,25,42,101,152,0.059,0,0.590
42101015300.00000000000,114,85,average,2,14,42,101,153,0.028,0,0.310
42101015600.00000000000,1380,316,well above average,4,25,42,101,156,0.674,0,0.980
42101019000.00000000000,5555,824,well above average,4,24,42,101,190,0.664,0,0.980
42101019100.00000000000,5038,703,well above average,4,29,42,101,191,0.569,0,0.970
42101019200.00000000000,6154,990,well above average,4,27,42,101,192,0.682,0,0.980
42101019700.00000000000,3932,690,well above average,4,29,42,101,197,0.575,0,0.970
42101019800.00000000000,4617,695,well above average,4,28,42,101,198,0.662,0,0.980
42101019900.00000000000,2492,579,well above average,4,26,42,101,199,0.611,0,0.970
42101020000.00000000000,79,66,average,2,20,42,101,200,0.060,0,0.600
42101020200.00000000000,166,225,average,2,22,42,101,202,0.038,0,0.420
42101020300.00000000000,194,197,average,2,19,42,101,203,0.067,0,0.640
42101020400.00000000000,132,124,average,2,22,42,101,204,0.050,0,0.530
42101020500.00000000000,36,45,below average,1,21,42,101,205,0.013,0,0.130
42101001202.00000000000,372,172,average,2,10,42,101,12.02,0.073,0,0.680
42101001201.00000000000,173,132,average,2,14,42,101,12.01,0.042,0,0.460
42101000803.00000000000,62,60,below average,1,14,42,101,8.03,0.017,0,0.170
42101011400.00000000000,132,109,below average,1,23,42,101,114,0.018,0,0.180
42101015700.00000000000,1114,248,well above average,4,20,42,101,157,0.414,0,0.960
42101015800.00000000000,190,126,average,2,15,42,101,158,0.031,0,0.340
42101016000.00000000000,512,264,average,2,13,42,101,160,0.076,0,0.700
42101016100.00000000000,1543,563,above average,3,21,42,101,161,0.259,0,0.910
42101016200.00000000000,1766,295,well above average,4,26,42,101,162,0.723,0,0.990
42101016300.00000000000,2896,437,well above average,4,27,42,101,163,0.781,0,0.990
42101016400.00000000000,2481,445,well above average,4,26,42,101,164,0.572,0,0.970
42101016500.00000000000,869,476,well above average,4,29,42,101,165,0.323,0,0.940
42101016600.00000000000,208,132,average,2,22,42,101,166,0.128,0,0.820
42101016800.00000000000,6,9,below average,1,19,42,101,168,0.002,0,0.020
42101003901.00000000000,158,122,average,2,21,42,101,39.01,0.025,0,0.270
42101016902.00000000000,213,213,average,2,21,42,101,169.02,0.037,0,0.410
42101016901.00000000000,4,8,below average,1,21,42,101,169.01,0.001,0,0.020
42101020700.00000000000,338,196,average,2,14,42,101,207,0.060,0,0.600
42101020800.00000000000,78,50,average,2,17,42,101,208,0.036,0,0.400
42101020900.00000000000,183,171,average,2,12,42,101,209,0.062,0,0.610
42101021000.00000000000,92,83,below average,1,12,42,101,210,0.018,0,0.180
42101021100.00000000000,173,110,average,2,16,42,101,211,0.069,0,0.660
42101021200.00000000000,96,71,average,2,16,42,101,212,0.039,0,0.430
42091201501.00000000000,125,83,average,2,21,42,091,2015.01,0.034,0,0.370
42091205806.00000000000,70,69,average,2,18,42,091,2058.06,0.031,0,0.340
42091206004.00000000000,295,131,average,2,14,42,091,2060.04,0.046,0,0.500
42091208703.00000000000,79,94,below average,1,14,42,091,2087.03,0.020,0,0.210
42091206901.00000000000,351,173,average,2,20,42,091,2069.01,0.074,0,0.690
34005703804.00000000000,355,335,average,2,14,34,005,7038.04,0.048,0,0.520
42101013300.00000000000,276,216,average,2,15,42,101,133,0.073,0,0.680
42101013500.00000000000,538,308,average,2,16,42,101,135,0.142,0,0.840
42101013700.00000000000,89,65,below average,1,18,42,101,137,0.019,0,0.200
42101017000.00000000000,132,84,average,2,20,42,101,170,0.042,0,0.460
42101017100.00000000000,118,142,average,2,21,42,101,171,0.030,0,0.330
42101017300.00000000000,97,72,average,2,20,42,101,173,0.037,0,0.410
42101017400.00000000000,341,210,above average,3,25,42,101,174,0.155,0,0.860
42101017500.00000000000,4786,850,well above average,4,28,42,101,175,0.699,0,0.980
42101017800.00000000000,2777,525,well above average,4,27,42,101,178,0.446,0,0.960
42101017900.00000000000,2809,752,well above average,4,27,42,101,179,0.386,0,0.950
42101018300.00000000000,37,39,below average,1,14,42,101,183,0.009,0,0.080
34015501604.00000000000,275,95,average,2,18,34,015,5016.04,0.037,0,0.410
34015501606.00000000000,449,265,average,2,16,34,015,5016.06,0.063,0,0.620
34021001402.00000000000,227,161,average,2,24,34,021,14.02,0.107,0,0.780
34021001500.00000000000,460,365,average,2,26,34,021,15,0.153,0,0.850
42101002702.00000000000,394,263,average,2,16,42,101,27.02,0.092,0,0.750
42101003002.00000000000,102,75,average,2,20,42,101,30.02,0.034,0,0.370
42101003001.00000000000,348,336,average,2,22,42,101,30.01,0.079,0,0.700
42101002802.00000000000,731,584,average,2,23,42,101,28.02,0.124,0,0.820
42101002701.00000000000,984,427,above average,3,22,42,101,27.01,0.236,0,0.900
42101033701.00000000000,401,394,average,2,25,42,101,337.01,0.072,0,0.680
42101033702.00000000000,223,211,average,2,23,42,101,337.02,0.043,0,0.470
42101031502.00000000000,204,89,average,2,24,42,101,315.02,0.053,0,0.550
42101031401.00000000000,1964,549,above average,3,27,42,101,314.01,0.265,0,0.920
42101031402.00000000000,1272,368,above average,3,27,42,101,314.02,0.229,0,0.900
42091202603.00000000000,95,68,average,2,15,42,091,2026.03,0.029,0,0.320
42091202201.00000000000,279,171,average,2,16,42,091,2022.01,0.059,0,0.590
42091203803.00000000000,2035,495,well above average,4,23,42,091,2038.03,0.360,0,0.950
42091203804.00000000000,1136,499,well above average,4,27,42,091,2038.04,0.341,0,0.940
42091203901.00000000000,1626,474,well above average,4,26,42,091,2039.01,0.495,0,0.960
42091210100.00000000000,498,310,average,2,16,42,091,2101,0.126,0,0.820
42091201408.00000000000,28,21,below average,1,14,42,091,2014.08,0.006,0,0.050
42091201407.00000000000,132,127,average,2,17,42,091,2014.07,0.051,0,0.530
42091207103.00000000000,256,236,average,2,14,42,091,2071.03,0.061,0,0.600
34015501303.00000000000,19,29,below average,1,15,34,015,5013.03,0.008,0,0.070
